arrival_time,num_entities,entity_paths,p_levels,priorities
2366,8,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10]"
2379,2,"['Path:SPM_Sapphire', 'Path:SPM_Sapphire']","[1, 1]","[10, 10]"
2379,3,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1]","[10, 10, 10]"
2392,2,"['Path:SPM_Sapphire', 'Path:SPM_Sapphire']","[1, 1]","[10, 10]"
2392,11,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2405,6,"['Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire']","[1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10]"
2405,13,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
2444,3,"['Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire']","[1, 1, 1]","[10, 10, 10]"
2457,5,"['Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire', 'Path:SPM_Sapphire']","[1, 1, 1, 1, 1]","[10, 10, 10, 10, 10]"
2457,8,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10]"
2470,6,"['Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite', 'Path:SPM_Tanzanite']","[1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10]"
3393,1,['Path:SPM_Tanzanite'],[1],[10]
3523,1,['Path:SPM_Tanzanite'],[1],[10]
3588,1,['Path:SPM_Tanzanite'],[1],[10]
3770,1,['Path:SPM_Tanzanite'],[1],[10]
3913,1,['Path:SPM_Sapphire'],[1],[10]
3913,1,['Path:SPM_Tanzanite'],[1],[10]
4043,1,['Path:SPM_Tanzanite'],[1],[10]
4394,1,['Path:SPM_Tanzanite'],[1],[10]
4589,1,['Path:SPM_Sapphire'],[1],[10]
4732,1,['Path:SPM_Tanzanite'],[1],[10]
4849,1,['Path:SPM_Tanzanite'],[1],[10]
4992,1,['Path:SPM_Tanzanite'],[1],[10]
5135,1,['Path:SPM_Tanzanite'],[1],[10]
5252,1,['Path:SPM_Tanzanite'],[1],[10]
5395,1,['Path:SPM_Tanzanite'],[1],[10]
5525,1,['Path:SPM_Tanzanite'],[1],[10]
5629,1,['Path:SPM_Tanzanite'],[1],[10]
5785,1,['Path:SPM_Tanzanite'],[1],[10]
5902,1,['Path:SPM_Tanzanite'],[1],[10]
5915,1,['Path:SPM_Sapphire'],[1],[10]
6506.5,1,['Path:Tanzanite - Group 1'],[1],[10]
6506.5,1,['Path:Tanzanite - Group 2'],[1],[10]
6779.5,1,['Path:Tanzanite - Group 3'],[1],[10]
6779.5,1,['Path:Tanzanite - Group 4'],[1],[10]
7065.5,1,['Path:Tanzanite - Group 5'],[1],[10]
7065.5,1,['Path:Tanzanite - Group 6'],[1],[10]
7351.5,1,['Path:Tanzanite - Group 7'],[1],[10]
7351.5,1,['Path:Tanzanite - Group 8'],[1],[10]
7624.5,1,['Path:Tanzanite - Group 10'],[1],[10]
7624.5,1,['Path:Tanzanite - Group 9'],[1],[10]
7910.5,1,['Path:Tanzanite - Group 11'],[1],[10]
7910.5,1,['Path:Tanzanite - Group 12'],[1],[10]
8196.5,1,['Path:Tanzanite - Group 13'],[1],[10]
8196.5,1,['Path:Tanzanite - Group 14'],[1],[10]
8469.5,1,['Path:Tanzanite - Group 15'],[1],[10]
8469.5,1,['Path:Tanzanite - Group 16'],[1],[10]
8755.5,1,['Path:Tanzanite - Group 17'],[1],[10]
8755.5,1,['Path:Tanzanite - Group 18'],[1],[10]
9041.5,1,['Path:Tanzanite - Group 19'],[1],[10]
9041.5,1,['Path:Tanzanite - Group 20'],[1],[10]
9314.5,1,['Path:Tanzanite - Group 21'],[1],[10]
9314.5,1,['Path:Tanzanite - Group 22'],[1],[10]
9600.5,1,['Path:Tanzanite - Group 23'],[1],[10]
