EntityID,ProductOrPath,Processor,StartHour,EndHour
1026,Sapphire,Cure Times.ShipCureDate,2544.0,2832.0
1027,Sapphire,Fit-Check,1224.0,552.0
1027,Sapphire,Bonded,624.0,648.0
1027,Sapphire,Vacuum,648.0,672.0
1027,Sapphire,Post Bond Clean,672.0,672.0
1027,Sapphire,Clean & Classify,792.0,1176.0
1027,Sapphire,MAC,2520.0,2544.0
1027,Sapphire,LastTouchups,2544.0,2544.0
1027,Sapphire,Cure Times.ShipCureDate,2544.0,2712.0
1028,Sapphire,Fit-Check,1224.0,552.0
1028,Sapphire,Bonded,624.0,672.0
1028,Sapphire,Vacuum,672.0,720.0
1028,Sapphire,Post Bond Clean,720.0,720.0
1028,Sapphire,Clean & Classify,720.0,1176.0
1028,Sapphire,MAC,2520.0,2520.0
1028,Sapphire,LastTouchups,2520.0,2520.0
1028,Sapphire,Cure Times.ShipCureDate,2520.0,1344.0
1029,Sapphire,Fit-Check,1224.0,552.0
1029,Sapphire,Bonded,624.0,672.0
1029,Sapphire,Vacuum,672.0,720.0
1029,Sapphire,Post Bond Clean,720.0,720.0
1029,Sapphire,Clean & Classify,816.0,1176.0
1029,Sapphire,MAC,2520.0,2544.0
1029,Sapphire,LastTouchups,2544.0,2520.0
1029,Sapphire,Cure Times.ShipCureDate,2520.0,1512.0
1030,Sapphire,Fit-Check,1224.0,552.0
1030,Sapphire,Bonded,624.0,672.0
1030,Sapphire,Vacuum,672.0,720.0
1030,Sapphire,Post Bond Clean,720.0,720.0
1030,Sapphire,Clean & Classify,720.0,1176.0
1030,Sapphire,MAC,2520.0,2520.0
1030,Sapphire,LastTouchups,2520.0,2520.0
1030,Sapphire,Cure Times.ShipCureDate,2520.0,2832.0
1031,Sapphire,Fit-Check,696.0,552.0
1031,Sapphire,Bonded,624.0,720.0
1031,Sapphire,Vacuum,720.0,744.0
1031,Sapphire,Post Bond Clean,744.0,792.0
1031,Sapphire,Clean & Classify,816.0,1176.0
1031,Sapphire,MAC,2520.0,2520.0
1031,Sapphire,LastTouchups,2520.0,2520.0
1031,Sapphire,Cure Times.ShipCureDate,2520.0,2688.0
